epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,97.2672,0.56764,1.55477,1.02708,1.01722,0.91759,0.4,0.71201,0.44385,0.82546,0.40256,0.64367,0.43381,1.60929,2.57824,1.78256,1.38348,1.17736e-05,1.17736e-05,1.17736e-05
39,99.7759,0.78901,2.86471,1.11275,1.06126,0.92817,0.3966,0.72329,0.45766,0.826,0.40448,0.65401,0.44006,1.59528,2.56849,1.83568,1.37361,1.11965e-05,1.11965e-05,1.11965e-05
40,102.279,0.87195,1.86989,1.05236,1.16014,0.92817,0.3966,0.72329,0.45766,0.826,0.40448,0.65401,0.44006,1.59528,2.56849,1.83568,1.37361,1.05722e-05,1.05722e-05,1.05722e-05
41,104.72,0.79122,2.29905,1.02659,1.24392,0.92941,0.39555,0.69515,0.43527,0.82548,0.40405,0.62772,0.42345,1.60502,2.57174,1.85318,1.3734,9.9008e-06,9.9008e-06,9.9008e-06
42,107.153,0.87826,2.21884,1.16116,1.14507,0.92941,0.39555,0.69515,0.43527,0.82548,0.40405,0.62772,0.42345,1.60502,2.57174,1.85318,1.3734,9.18228e-06,9.18228e-06,9.18228e-06
43,109.642,0.77571,2.41032,1.17446,1.20038,0.92436,0.39622,0.80379,0.52307,0.82602,0.40758,0.73309,0.50424,1.61137,2.57479,1.88262,1.37641,8.41663e-06,8.41663e-06,8.41663e-06
44,112.033,0.65755,1.91314,0.93579,1.13436,0.92436,0.39622,0.80379,0.52307,0.82602,0.40758,0.73309,0.50424,1.61137,2.57479,1.88262,1.37641,7.60386e-06,7.60386e-06,7.60386e-06
45,114.478,0.72752,1.84149,0.95577,1.06271,0.92745,0.39311,0.7199,0.45269,0.82274,0.40735,0.64963,0.4294,1.61275,2.58018,1.92156,1.37693,6.74397e-06,6.74397e-06,6.74397e-06
46,116.884,0.96133,2.22448,1.09076,1.14539,0.92745,0.39311,0.7199,0.45269,0.82274,0.40735,0.64963,0.4294,1.61275,2.58018,1.92156,1.37693,5.83695e-06,5.83695e-06,5.83695e-06
47,119.364,0.87796,1.97911,1.09765,1.12581,0.92986,0.3929,0.71997,0.46201,0.71988,0.43333,0.62199,0.43464,1.63412,2.58568,1.94683,1.39013,4.88281e-06,4.88281e-06,4.88281e-06
48,121.798,0.6819,1.86021,0.87463,1.08407,0.92986,0.3929,0.71997,0.46201,0.71988,0.43333,0.62199,0.43464,1.63412,2.58568,1.94683,1.39013,3.88154e-06,3.88154e-06,3.88154e-06
49,124.286,0.94958,2.51137,1.29983,1.12885,0.85146,0.41667,0.73234,0.48478,0.71334,0.43333,0.63613,0.44119,1.65871,2.58934,1.947,1.40182,2.83315e-06,2.83315e-06,2.83315e-06
50,126.684,0.73741,1.94374,0.96149,1.08384,0.85146,0.41667,0.73234,0.48478,0.71334,0.43333,0.63613,0.44119,1.65871,2.58934,1.947,1.40182,1.73764e-06,1.73764e-06,1.73764e-06
